ingredient_id,ingredient_name
183,고추장
184,고추장아찌
185,고추장아찌국물
186,고추장찌개
187,고추참치
188,고춧가루
189,고춧기름
190,고춧잎
191,고형다시
192,고형카레
193,곡물미숫가루
194,곡물바
195,곡물빵
2811,곤드레
196,곤드레나물
197,곤약
198,곤약면
199,곤약모
2937,곤약분말
200,곤약현미밥
201,골드키위
202,골뱅이
203,골뱅이캔국물
204,골파대
205,곰새우
206,곰취
207,곰탕라면
208,곰탕라면스프
209,곰피
210,곱창
211,곱창김
212,공기밥
213,공심채
214,곶감
215,과메기
216,과일
217,과일껍질
218,과일꼬치
219,과일슬라이스
220,과일잼
221,과일주스
222,과일푸딩
223,과일후르츠
224,과자
225,과카몰리
226,관자
227,관자살
228,관찰레
229,광대나물
230,광어
231,광어살
232,교자만두
233,구기자순
234,구운감태
235,구운견과류
236,구운계란
237,구운골뱅이
238,구운김
239,구운김치
240,구운닭가슴살
241,구운마카다미아
242,구운소금
243,구운아몬드
244,구운아몬드슬라이스
245,구운캐슈넛
246,구운피칸
247,구운황태
248,구워먹는치즈
249,국간장
250,국멸치
251,국수
252,국수소면
253,국수장국
254,국수중면
255,군고구마
256,군만두
257,군밤
258,굴
259,굴림만두
260,굴비
261,굴소스
262,굴진짬뽕
263,굵은고춧가루
264,굵은설탕
265,굵은소금
266,굵은후추
267,귀리
268,귀리가루
269,귀리밥
270,귤
271,귤껍질
272,귤잼
273,귤청
274,귤칩
275,그라다파다노치즈
276,그라인드후추
277,그래놀라
278,그레나딘시럽
279,그릭요거트
280,그린빈
281,그린올리브
282,그린키위
283,그린티파우더
284,그린홍합
285,그릴비엔나소시지
286,근대
287,근대감자된장국
288,근대줄기
289,글루텐프리믹스
290,금귤
291,기네스
292,기름
293,기버터
294,긴소시지
295,긴콩
296,김
297,김가루
298,김밥
299,김밥용김
300,김밥용단무지
301,김밥용햄
302,김자반
303,김치
304,김치국물
305,김치만두
306,김치볶음
307,김치볶음밥
308,까나리액젓
309,까르보나라소스
310,까르보떡볶이
311,까르보불닭
312,까르보불닭소스
313,까망베르치즈
314,깍두기
315,깍두기국물
316,깐마늘
317,깐메추리알
318,깐밤
319,깐새우
320,깐호두
321,깔라만시
322,깔라만시원액
323,깔루아
324,깔리바우트초콜릿
325,깜빠뉴빵
326,깨
327,깨가루
328,깨소금
329,깨순
330,깻잎
331,깻잎순
332,깻잎장아찌
333,깻잎통조림국물
334,깻잎페스토
335,꼬꼬면
336,꼬들단무지
337,꼬마새송이버섯
338,꼬마전복
339,꼬막
340,꼬막살
341,꼬시래기
342,꼬치
343,꽁치
344,꽁치통조림국물
345,꽃게
346,꽃게라면
347,꽃등심
348,꽃마리
349,꽃소금
350,꽈리고추
351,꾸지뽕
